rok;ryz;maka;kurczak;kielbasa;jaja;maslo;olej;cukier;miod;kawa;herbata;karp;przyrost;bezrobocie;przyrost2
1999;2,43;1,48;5,24;10,99;,27;2,26;4,91;1,95;6,38;6,95;1,92;9,97;-1;11,4;ujemne
2000;2,39;1,6;5,76;11,87;,33;2,88;4,18;2,97;6,4;6,72;2,04;9,58;-1;13,7;ujemne
2001;2,29;1,7;5,9;12,68;,34;2,35;4,09;2,52;6,48;5,79;2,14;9,77;-1;15,7;ujemne
2002;2,12;1,57;4,93;12,44;,3;2,35;4,13;2,28;6,66;4,75;2,14;10,04;-1;18,1;ujemne
2003;1,98;1,48;5,09;11,34;,33;2,47;4,45;2,15;6,73;4,55;2,13;10,95;-1;20,6;ujemne
2004;2,59;1,68;5,7;11,78;,37;3,04;4,78;3,14;6,98;4,53;2,18;11,64;-1;20,6;ujemne
2005;2,74;1,52;5,63;11,98;,34;3,15;4,72;3,13;7,42;4,57;2,25;11,54;-1;19,4;ujemne
2006;2,63;1,43;4,9;11,8;,35;3,03;4,7;3,12;7,5;4,72;2,24;11,36;-1;18;ujemne
2007;2,89;1,73;6,31;11,9;,36;3,38;4,91;3,01;7,47;5,29;2,36;12,04;-1;15,1;ujemne
2008;3,99;2,05;6,21;12,61;,4;3,69;5,98;2,71;7,98;5,83;2,72;12,79;1;11,5;dodatnie
2009;4,63;1,94;6,86;13,83;,43;3,53;6,1;3,12;8,81;5,95;3,03;13,05;1;10,4;dodatnie
2010;4,19;1,92;6,36;13,94;,46;4,13;5,85;2,73;9,78;6,03;3,31;13,45;-1;12,9;ujemne
2011;4,1;2,29;7,25;14,37;,45;4,48;6,7;4,07;10,84;6,76;3,43;14,52;1;13,1;dodatnie
2012;4,27;2,37;7,57;15,63;,6;4,31;6,98;3,96;10,87;7,46;3,61;15,15;-1;13,2;ujemne
2013;4,15;2,49;7,55;15,99;,56;4,48;6,87;3,6;10,85;6,82;3,77;14,6;-1;14,2;ujemne
2014;3,92;2,45;7,34;15,82;,52;4,6;6,33;2,5;11,01;6,69;3,9;14,11;-1;13,9;ujemne
2015;3,79;2,42;6,99;15,44;,51;4,13;5,9;2,23;11,16;6,81;3,93;14,18;-1;11,9;ujemne
2016;3,8;2,47;6,86;15,43;,5;4,13;5,84;2,87;11,55;6,89;4,07;14,44;-1;10,2;ujemne
2017;3,85;2,49;7,01;17,11;,56;5,83;6,1;3,04;11,99;7,17;4,18;14,98;1;8,5;dodatnie
2018;3,81;2,5;7,3;17,52;,67;6,36;6,06;2,14;12,49;7,46;4,42;15,44;1;6,8;dodatnie
2019;3,96;2,73;7,46;18,78;,64;5,91;6,23;2,53;12,68;7,56;7,61;15,58;-1;6,1;ujemne
